SSP4,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SYC,74265,75568,77157,78160,78478,79266,80245,81088,82539,84382,85548,86284,86690,87128,87435,87494
SLE,5324031,6047355,6762133,7543141,8344358,9149608,9948932,10678520,11340083,11939295,12485768,12952924,13334508,13570028,13730980,13849018
SGP,4295147,4129212,4029932,3881101,3733586,3572270,3410544,3247535,3096870,3023652,2931001,2805852,2629149,2463619,2285421,2095764
SXM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SVK,3611558,3511478,3440588,3303110,3094672,2883547,2681206,2517852,2419027,2334285,2218094,2075542,1918057,1781395,1664625,1562258
SVN,1334857,1299716,1259794,1211977,1147087,1084101,1031804,998955,971894,945626,902609,847539,794638,750687,710215,668742
SLB,444838,507383,571443,640546,715041,794069,878663,962471,1044846,1126446,1204996,1276795,1339211,1391806,1433640,1468973
SOM,9598551,11348882,13388472,15836339,18775058,22150520,25917721,29984466,34313088,38971109,43862006,48803697,53698107,58428284,62931205,67163346
ZAF,40134638,41829716,42976389,44155598,45220585,45426880,45211802,45132134,45327989,45669630,45573669,45297000,44956579,44637052,44234536,43796792
SSD,6159177,7020395,7542948,7857244,8305854,8937120,9688951,10303883,10745047,11029234,11355655,11689967,12134316,12569741,12891764,13176915
ESP,31234319,30682693,29647255,28067363,26366983,25203896,24508009,24033318,23656168,22934732,21793392,20600124,19550118,18789935,18002204,17117718
LKA,14652076,14908233,15018496,15053199,15001436,14922475,15036254,15051938,15012744,14882326,14740870,14692337,14782286,14897773,14995711,15068020
PSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SDN,27965184,32224941,37081009,41624928,45579178,48738410,51205014,53397342,55194439,56385662,56739578,56211637,54790437,53016648,51085663,49022479
SUR,419905,434713,447294,463174,483523,500338,517214,532625,545142,556232,568074,580225,592617,602285,609564,616456
SWE,6555970,6642436,6668530,6637147,6615594,6544431,6397575,6238470,6200876,6119138,5940811,5702296,5454696,5258768,5061129,4851977
CHE,5729425,5638751,5546485,5479067,5416762,5299926,5163111,5062145,5016276,4971057,4876065,4724151,4541242,4369671,4189764,4001779
SYR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TJK,6285426,7001445,7748402,8501760,9213986,9906543,10561970,11221320,11875056,12511051,13088333,13520084,13904578,14257763,14599957,14884652
THA,48975684,47289068,45188544,43383336,41868921,40274694,38905067,37520521,36167213,35347423,34639313,33967347,33615111,33200800,32696075,32126662
TLS,858420,951931,1037661,1123241,1217566,1306353,1379653,1431752,1465771,1486966,1508757,1532734,1555846,1573457,1582784,1587798
TGO,5396556,6150604,6929031,7766091,8678758,9656907,10689473,11714584,12724459,13708677,14630998,15499135,16266769,16920248,17434818,17869489
TKL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TON,65154,68813,70961,72755,74774,76556,78546,79603,80340,80246,80015,79669,79935,80633,81404,82270
TTO,1047718,1028724,1014762,993304,960427,914614,879063,863938,860011,858474,855795,852907,855247,859941,864025,866577
TUN,8292207,8588716,8839702,9018584,9057944,9017391,8960208,8975628,9131520,9314372,9422679,9394710,9361922,9378485,9458165,9571993
